"","B","CD4","CD8","Monocytes","NK","Other"
"PD-PDBZ656VVJ_0",0.145355811611857,0.256363541152714,0.0314290729383434,0.512118644960256,0,0.0547329293368294
"PD-PDBZ656VVJ_6",0.385822042088441,0.15237605387485,0.200958026174046,0.260843877862664,0,0
"PD-PDBZ656VVJ_12",0.345203417739735,0.200019843191065,0.133201248822834,0.321575490246366,0,0
"PD-PDBZ656VVJ_18",0.3684205191872,0.234172161911111,0.0988946755328119,0.298512643368878,0,0
"PD-PDBZ656VVJ_24",0.35701770281927,0.233516046399658,0.122900470921742,0.28656577985933,0,0
"PD-PDCB414UX1_0",0.510460004772662,0.217427371910592,0.0646038326101161,0.190872632058298,0,0.0166361586483315
"PD-PDCB414UX1_6",0.456237491749833,0.214972944091558,0.0276948164012504,0.166059153357573,0,0.135035594399786
"PD-PDCB414UX1_12",0.401391945565687,0.258460089170996,0,0.244786142447062,0,0.095361822816255
"PD-PDCB414UX1_18",0.430989458079758,0.273995845984223,0.04876472491619,0.208083183663925,0,0.0381667873559038
"PD-PDCB414UX1_24",0.35504430194574,0.267791883463504,0.0424468249787329,0.23590066340925,0,0.0988163262027726
"PD-PDCB462HKD_0",0.409632812035105,0.213792439397596,0.0201232105973852,0.356451537969914,0,0
"PD-PDCB462HKD_6",0.239551928996106,0.260006341811806,0.0463658241225104,0.368056680438618,0,0.0860192246309597
"PD-PDCB462HKD_12",0.424041415126306,0.252230174815627,0,0.138067771707292,0,0.185660638350774
"PD-PDCB462HKD_18",0.468725936709495,0.221107370040852,0,0.176671948241817,0,0.133494745007837
"PD-PDCB498FZV_0",0.467282503409441,0.269257203659157,0.111926730156652,0.109556638868475,0,0.0419769239062756
"PD-PDCB498FZV_6",0.400342487512343,0.302485364014558,0,0.140796226718004,0,0.156375921755095
"PD-PDCB498FZV_18",0.420046376485617,0.132266137633157,0,0.0969129844786659,0.0653380948656186,0.285436406536941
"PD-PDCB498FZV_24",0.46029179006009,0.197424481059812,0.126352494455418,0.021475488096292,0.0191002898141903,0.175355456514197
"PD-PDCC181AT5_0",0.283161540513456,0.143619817491142,0.184128878520858,0.29705082805752,0,0.0920389354170237
"PD-PDCC181AT5_6",0.305824318115661,0.214826583150739,0.25916041218576,0.168373713566205,0,0.0518149729816351
"PD-PDCC181AT5_12",0.240204578182163,0.220316484152052,0.153463024142446,0.357723030045277,0,0.0282928834780626
"PD-PDCC181AT5_18",0.50666624721033,0.257007604184545,0.0968884501351241,0,0,0.139437698470001
"PD-PDCC181AT5_24",0.413435715054858,0.223863072071779,0.138748723967294,0.208759810006481,0,0.015192678899589
"PD-PDCC802BWZ_0",0.476508625648606,0.164564942034253,0.0688136888581353,0.290112743459006,0,0
"PD-PDCC802BWZ_6",0.254725908766055,0.274781952455032,0.0376324848230562,0.326160656514898,0,0.106698997440958
"PD-PDCC802BWZ_12",0.452181647356918,0.14043334220968,0.0706382045493999,0.336746805884002,0,0
"PD-PDCC802BWZ_18",0.408269665486068,0.274973288391633,0.0929748854214496,0.223782160700849,0,0
"PD-PDCC883EAR_0",0.450542906796776,0.173726118131508,0.298291717514628,0.0774392575570884,0,0
"PD-PDCC883EAR_6",0.387267007049231,0.243725490903323,0.0907604515879589,0.166051559124552,0,0.112195491334935
"PD-PDCC883EAR_12",0.360713206578779,0.213352840638305,0.104394594541694,0.321539358241223,0,0
